#comment
# id left top right bottom texture_id
#----SIMON-----#
#idle
10000 12 4 43 63 20
#walk
10001 78 2 101 63 20
10002 136 4 165 63 20
10003 196 3 219 63 20
#jump/sit
10004 252 18 283 63 20
#attack/use subweabon (standing)
11000 312 4 359 63 20
11001 372 4 403 63 20
11002 421 6 463 63 20
#attack (sit)
11100 432 84 479 129 20
11101 12 150 43 195 20
11102 60 152 103 195 20
#attack (downstair)
12000 130 134 177 195 20
12001 190 134 221 195 20
12002 241 136 281 195 20
#attack (upstair)
12100 312 134 359 195 20
12101 372 134 403 195 20
12102 420 136 463 195 20
#idle up
13000 252 68 281 129 20
#idle down
13001 130 68 162 130 20
#go downstair
13100 130 68 161 129 20
13101 190 68 213 129 20
#go upstair
13200 252 68 281 129 20
13201 315 68 338 129 20
#hurt
14000 315 207 346 263 20
#death
14100 374 220 405 263 20
14101 240 236 299 257 20
#intro
15000 80 66 111 129 20
#power up
16000 12 198 47 263 20 
16001 72 198 106 263 20
16002 132 198 166 263 20
16003 192 198 227 263 20

#----WHIP----#
#level 1
20000 102 18 118 65 21
20001 218 12 249 49 21
20002 273 16 318 31 21
#level 2
20010 102 85 117 132 21 
20011 218 79 249 116 21
20012 273 87 328 98 21
#level 3
20020 102 152 117 194 21
20021 218 146 249 183 21
20022 283 159 360 170 21

#-----DAGGER----#
#throw
21000 0 18 31 35 45

#-----AXE----#
#throw
22000 0 0 29 27 40
22001 30 0 59 27 40
22002 60 0 89 27 40
22003 90 0 119 27 40

#----HOLY BOTTLE----#
#throw
23000 8 4 23 19 47
23001 40 4 55 19 47
#breaking
23002 64 2 95 25 47
23003 96 0 127 25 47

#####----EFFECT----#####
#--DIE--# 	#effect when object can break (torch, candle,...) and enemies dead
#die effect
90000 154 215 156 227 30
90001 164 216 169 227 30
90002 177 213 184 227 30

#####----ENEMIES----#####

#--GHOULS--#
#idle 
30000 9 2 24 33 30
#walk
30001 9 2 24 33 30
30002 34 2 49 33 30
#--PANTHERS--#
#idle
31000 65 14 96 29 30
#run
31001 95 13 126 28 30
31002 130 13 161 28 30
#hovering
31003 165 14 196 29 30

#####----OBJECT----#####

#--TORCH--#
#burn
40000 0 0 15 31 60
40001 16 0 31 31 60
#--CANDLE--#
#burn
40010 0 0 7 15 61
40011 8 0 15 15 61
#####----ITEMS----#####

#--BIG HEART--#
50000 0 0 23 19 41
#----MONEYBAG----#
50010 61 0 90 29 50
#----MORNING STAR---#
50020 0 0 32 32 51
